id_bsran_Group	id_bsran	title_bsran	layer_bsran	objtype_bsran	objpixel_bsran	objgeo_bsran	pensymcolor_bsran	pensymsizepixel_bsran	pensymsizemeters_bsran	brushfill_bsran	brushcolor_bsran	alpha_bsran	uri_bsran	labelsize_bsran	labelcolor_bsran	objgeocenter_bsran
-1064471185_80	106447118580			POINT	259.232561219567 538.128458935651	0.368686929345019 0.234814470747375	-16777216	10	10	10	10					
-1064471185_81	106447118581			POINT	247.038259506279 538.41158113021	0.351369313895598 0.234451637998345	-16777216	10	10	10	10					
-1064471185_82	106447118582			POINT	234.843957354987 538.694697982272	0.334051698446178 0.234088805249313	-16777216	10	10	10	10					
-1064471185_83	106447118583			POINT	356.970624431404 540.979508349153	0.507471084594549 0.230402329136203	-16777216	10	10	10	10					
-1064471185_84	106447118584			POINT	356.611200089931 551.545418702931	0.506924383342083 0.215298498828752	-16777216	10	10	10	10					
-1064471185_85	106447118585			POINT	356.251758814211 562.111328284122	0.50637768208962 0.2001946685213	-16777216	10	10	10	10					
-1064471185_86	106447118586			POINT	355.892300657441 572.677237108292	0.505830980837155 0.185090838213851	-16777216	10	10	10	10					
-1064471185_87	106447118587			POINT	355.532825672824 583.243145191012	0.505284279584692 0.1699870079064	-16777216	10	10	10	10					
-1064471185_88	106447118588			POINT	341.778527633442 590.285413620414	0.485728271305375 0.159966626066495	-16777216	10	10	10	10					
-1064471185_89	106447118589			POINT	328.263888938752 590.283739584185	0.466536730527701 0.160015464431554	-16777216	10	10	10	10					
-1064471185_90	106447118590			POINT	314.74925027649 590.282061396066	0.447345189750027 0.160064302796614	-16777216	10	10	10	10					
-1064471185_91	106447118591			POINT	301.234611646667 590.280379052214	0.428153648972352 0.160113141161673	-16777216	10	10	10	10					
-1064471185_92	106447118592			POINT	287.719973049299 590.278692548785	0.408962108194678 0.160161979526734	-16777216	10	10	10	10					
-1064471185_93	106447118593			POINT	274.205334484397 590.277001881936	0.389770567417003 0.160210817891794	-16777216	10	10	10	10					
-1064471185_94	106447118594			POINT	260.690695951976 590.275307047821	0.370579026639329 0.160259656256854	-16777216	10	10	10	10					
-1064471185_95	106447118595			POINT	247.176057452048 590.273608042595	0.351387485861654 0.160308494621914	-16777216	10	10	10	10					
-1064471185_96	106447118596			POINT	233.661418984628 590.271904862411	0.33219594508398 0.160357332986975	-16777216	10	10	10	10					
-1064471185_97	106447118597			POINT	306.006074907431 599.881817886774	0.434896539557898 0.146370444000981	-16777216	10	10	10	10					
-1064471185_98	106447118598			POINT	304.209059728282 611.704525635131	0.432304245504297 0.129474763847939	-16777216	10	10	10	10					
-1064471185_99	106447118599			POINT	302.412025400901 623.527230501338	0.429711951450697 0.112579083694896	-16777216	10	10	10	10					
-1064471185_100	1064471185100			POINT	300.614972240765 635.349932529614	0.427119657397098 0.0956834035418541	-16777216	10	10	10	10					
-1064471185_101	1064471185101			POINT	289.228405846355 637.557227099116	0.410942584276033 0.0925669039238891	-16777216	10	10	10	10					
-1064471185_102	1064471185102			POINT	277.841837547831 639.764516974264	0.394765511154968 0.0894504043059247	-16777216	10	10	10	10					
-1064471185_103	1064471185103			POINT	266.455267412576 641.971802329989	0.378588438033906 0.0863339046879583	-16777216	10	10	10	10					
-1064471185_104	1064471185104			POINT	255.068695507967 644.179083341217	0.362411364912841 0.0832174050699938	-16777216	10	10	10	10					
